ts,duty_cycle,acc,speed_l,speed_r,speed_avg
1649720812485,16,-0.33524786324786326,64.69422746928531,68.96764030178022,66.83093388553277
1649720812551,16,0.2490412698412698,77.3661101867127,61.35837637401668,69.3622432803647
1649720812585,16,0.1340991452991453,73.05689032678083,55.963804842362556,64.51034758457169
1649720812618,16,-0.4789255189255189,60.70939886612575,52.73470411367198,56.72205148989887
1649720812651,16,-0.14367765567765567,50.70112107498278,50.8598555617984,50.78048831839059
1649720812685,16,0.36398339438339433,51.58036854374464,54.999228124020156,53.2897983338824
1649720812718,16,-0.46934700854700856,41.5881630921413,48.613657350036284,45.100910221088796
1649720812752,16,-0.2586197802197802,46.19238288241861,55.196690479689245,50.69453668105393
1649720812785,16,-0.2586197802197802,45.16324957862241,47.82757500268043,46.49541229065142
1649720812818,16,-0.047892551892551885,55.96026536366696,50.052980288700105,53.00662282618353
1649720812852,16,-0.3160908424908425,58.70447588687312,41.98082460732765,50.34265024710038
1649720812885,16,-0.07662808302808302,70.39454022379793,47.0390865156302,58.71681336971407
1649720812918,16,-0.23946275946275944,60.10614351789998,47.88630904542079,53.996226281660384
1649720812952,16,-0.1245206349206349,51.73747575286835,49.99662615301477,50.86705095294156
1649720812985,16,-0.06704957264957265,44.66109918823875,46.52854582189043,45.59482250506459
1649720813018,16,-0.2969338217338217,43.07391617980492,45.37818375380399,44.22604996680445
1649720813052,16,-0.2586197802197802,38.264903963073124,37.98985363871276,38.12737880089294
1649720813085,16,-0.354404884004884,33.95051600304676,31.605653066304633,32.7780845346757
1649720813118,16,-0.15325616605616604,31.214476933009706,23.81036508395004,27.512421008479873
1649720813152,16,-0.5747106227106227,27.04374642806895,17.50701143122425,22.2753789296466
1649720813185,16,0.3448263736263736,20.15600421977799,17.50701143122425,18.83150782550112
1649720813218,16,-0.047892551892551885,20.15600421977799,17.50701143122425,18.83150782550112
1649720813252,16,-0.3065123321123321,20.15600421977799,17.50701143122425,18.83150782550112
1649720813285,16,-0.22988424908424906,13.251354897933666,17.50701143122425,15.379183164578958
1649720813318,16,0.06704957264957265,13.251354897933666,5.42611135763671,9.338733127785188
1649720813352,16,-0.009578510378510378,13.251354897933666,5.42611135763671,9.338733127785188
1649720813385,16,-0.09578510378510377,13.251354897933666,5.42611135763671,9.338733127785188
1649720813418,16,-0.019157020757020755,13.251354897933666,5.42611135763671,9.338733127785188
